Name,variable,value,score
Cote d'Ivoire,"Life expectancy at birth, total (years)",57.02,1.00
Cameroon,"Life expectancy at birth, total (years)",58.51,1.00
Democratic Republic of Congo,"Life expectancy at birth, total (years)",60.03,1.00
Congo,"Life expectancy at birth, total (years)",63.95,2.00
Colombia,"Life expectancy at birth, total (years)",76.92,7.00
Cape Verde,"Life expectancy at birth, total (years)",72.57,5.00
Costa Rica,"Life expectancy at birth, total (years)",79.91,9.00
Cuba,"Life expectancy at birth, total (years)",78.66,8.00
Curacao,"Life expectancy at birth, total (years)",78.02,8.00
Cayman Islands,"Life expectancy at birth, total (years)",82.19,10.00
Cyprus,"Life expectancy at birth, total (years)",80.67,9.00
Czech Republic,"Life expectancy at birth, total (years)",79.48,8.00
Germany,"Life expectancy at birth, total (years)",80.99,9.00
Djibouti,"Life expectancy at birth, total (years)",65.89,3.00
Dominica,"Life expectancy at birth, total (years)",76.60,7.00
Denmark,"Life expectancy at birth, total (years)",81.00,9.00
Dominican Republic,"Life expectancy at birth, total (years)",73.69,5.00
Algeria,"Life expectancy at birth, total (years)",76.50,7.00
Ecuador,"Life expectancy at birth, total (years)",76.58,7.00
Egypt,"Life expectancy at birth, total (years)",71.66,4.00
Eritrea,"Life expectancy at birth, total (years)",65.54,2.00
Spain,"Life expectancy at birth, total (years)",83.33,10.00
Estonia,"Life expectancy at birth, total (years)",77.64,8.00
Ethiopia,"Life expectancy at birth, total (years)",65.87,3.00
Finland,"Life expectancy at birth, total (years)",81.43,9.00
Fiji,"Life expectancy at birth, total (years)",67.25,3.00
France,"Life expectancy at birth, total (years)",82.52,10.00
Faeroe Islands,"Life expectancy at birth, total (years)",82.40,10.00
Gabon,"Life expectancy at birth, total (years)",65.84,3.00
United Kingdom,"Life expectancy at birth, total (years)",81.16,9.00
Georgia,"Life expectancy at birth, total (years)",73.41,5.00
Ghana,"Life expectancy at birth, total (years)",63.46,2.00
Gibraltar,"Life expectancy at birth, total (years)",,
Guinea,"Life expectancy at birth, total (years)",60.71,1.00
Gambia,"Life expectancy at birth, total (years)",61.44,2.00
Guinea-Bissau,"Life expectancy at birth, total (years)",57.67,1.00
Equatorial Guinea,"Life expectancy at birth, total (years)",58.06,1.00
Greece,"Life expectancy at birth, total (years)",81.39,9.00
Grenada,"Life expectancy at birth, total (years)",72.39,5.00
Greenland,"Life expectancy at birth, total (years)",71.25,4.00
Guatemala,"Life expectancy at birth, total (years)",73.81,5.00
Guam,"Life expectancy at birth, total (years)",79.63,9.00
Guyana,"Life expectancy at birth, total (years)",69.62,3.00
Honduras,"Life expectancy at birth, total (years)",74.90,6.00
Croatia,"Life expectancy at birth, total (years)",77.83,8.00
Haiti,"Life expectancy at birth, total (years)",63.29,2.00
Hungary,"Life expectancy at birth, total (years)",76.06,6.00
Indonesia,"Life expectancy at birth, total (years)",71.28,4.00
Isle of Man,"Life expectancy at birth, total (years)",77.97,8.00
India,"Life expectancy at birth, total (years)",69.17,3.00
Ireland,"Life expectancy at birth, total (years)",81.96,9.00
Iran,"Life expectancy at birth, total (years)",76.27,7.00
Iraq,"Life expectancy at birth, total (years)",70.29,3.00
Iceland,"Life expectancy at birth, total (years)",82.20,10.00
Israel,"Life expectancy at birth, total (years)",82.60,10.00
Italy,"Life expectancy at birth, total (years)",83.24,10.00
Jamaica,"Life expectancy at birth, total (years)",74.27,5.00
Jordan,"Life expectancy at birth, total (years)",74.29,5.00
Japan,"Life expectancy at birth, total (years)",84.10,10.00
Kazakhstan,"Life expectancy at birth, total (years)",72.95,5.00
Kenya,"Life expectancy at birth, total (years)",65.91,3.00
Kyrgyzstan,"Life expectancy at birth, total (years)",71.20,4.00
Cambodia,"Life expectancy at birth, total (years)",69.29,3.00
Saint Kitts and Nevis,"Life expectancy at birth, total (years)",71.34,4.00
South Korea,"Life expectancy at birth, total (years)",82.63,10.00
Kuwait,"Life expectancy at birth, total (years)",75.31,6.00
Laos,"Life expectancy at birth, total (years)",67.28,3.00
Lebanon,"Life expectancy at birth, total (years)",78.83,8.00
Liberia,"Life expectancy at birth, total (years)",63.30,2.00
Libya,"Life expectancy at birth, total (years)",72.52,5.00
Saint Lucia,"Life expectancy at birth, total (years)",75.91,6.00
Liechtenstein,"Life expectancy at birth, total (years)",82.26,10.00
Sri Lanka,"Life expectancy at birth, total (years)",76.65,7.00
Lithuania,"Life expectancy at birth, total (years)",74.67,6.00
Luxembourg,"Life expectancy at birth, total (years)",82.69,10.00
Latvia,"Life expectancy at birth, total (years)",74.68,6.00
Morocco,"Life expectancy at birth, total (years)",76.22,7.00
Monaco,"Life expectancy at birth, total (years)",,
Moldova,"Life expectancy at birth, total (years)",71.72,4.00
Madagascar,"Life expectancy at birth, total (years)",66.31,3.00
Maldives,"Life expectancy at birth, total (years)",78.33,8.00
Mexico,"Life expectancy at birth, total (years)",74.95,6.00
Macedonia,"Life expectancy at birth, total (years)",75.59,6.00
Mali,"Life expectancy at birth, total (years)",58.45,1.00
Malta,"Life expectancy at birth, total (years)",82.45,10.00
Myanmar,"Life expectancy at birth, total (years)",66.56,3.00
Montenegro,"Life expectancy at birth, total (years)",76.67,7.00
Mongolia,"Life expectancy at birth, total (years)",69.51,3.00
Mariana Islands,"Life expectancy at birth, total (years)",,
Mozambique,"Life expectancy at birth, total (years)",59.31,1.00
Mauritania,"Life expectancy at birth, total (years)",64.46,2.00
Mauritius,"Life expectancy at birth, total (years)",74.51,6.00
Malaysia,"Life expectancy at birth, total (years)",75.83,6.00
Namibia,"Life expectancy at birth, total (years)",63.02,2.00
New Caledonia,"Life expectancy at birth, total (years)",77.15,7.00
Niger,"Life expectancy at birth, total (years)",61.60,2.00
Nigeria,"Life expectancy at birth, total (years)",53.95,1.00
Nicaragua,"Life expectancy at birth, total (years)",74.07,5.00
Netherlands,"Life expectancy at birth, total (years)",81.56,9.00
Norway,"Life expectancy at birth, total (years)",82.51,10.00
Nepal,"Life expectancy at birth, total (years)",70.17,3.00
New Zealand,"Life expectancy at birth, total (years)",81.66,9.00
Oman,"Life expectancy at birth, total (years)",77.39,8.00
Pakistan,"Life expectancy at birth, total (years)",66.95,3.00
Panama,"Life expectancy at birth, total (years)",78.15,8.00
Peru,"Life expectancy at birth, total (years)",76.29,7.00
Philippines,"Life expectancy at birth, total (years)",70.95,4.00
Papua New Guinea,"Life expectancy at birth, total (years)",64.01,2.00
Poland,"Life expectancy at birth, total (years)",77.85,8.00
Puerto Rico,"Life expectancy at birth, total (years)",79.63,9.00
North Korea,"Life expectancy at birth, total (years)",71.91,4.00
Portugal,"Life expectancy at birth, total (years)",81.12,9.00
Paraguay,"Life expectancy at birth, total (years)",73.99,5.00
Palestine,"Life expectancy at birth, total (years)",73.74,5.00
French Polynesia,"Life expectancy at birth, total (years)",77.25,8.00
Qatar,"Life expectancy at birth, total (years)",79.98,9.00
Romania,"Life expectancy at birth, total (years)",75.31,6.00
Russia,"Life expectancy at birth, total (years)",72.12,4.00
Rwanda,"Life expectancy at birth, total (years)",68.34,3.00
Saudi Arabia,"Life expectancy at birth, total (years)",74.87,6.00
Sudan,"Life expectancy at birth, total (years)",64.88,2.00
Senegal,"Life expectancy at birth, total (years)",67.38,3.00
Singapore,"Life expectancy at birth, total (years)",82.90,10.00
Sierra Leone,"Life expectancy at birth, total (years)",53.90,1.00
El Salvador,"Life expectancy at birth, total (years)",72.87,5.00
San Marino,"Life expectancy at birth, total (years)",85.42,10.00
Somalia,"Life expectancy at birth, total (years)",56.71,1.00
Serbia,"Life expectancy at birth, total (years)",76.09,7.00
South Sudan,"Life expectancy at birth, total (years)",57.37,1.00
Suriname,"Life expectancy at birth, total (years)",71.46,4.00
Slovakia,"Life expectancy at birth, total (years)",77.17,8.00
Slovenia,"Life expectancy at birth, total (years)",81.18,9.00
Sweden,"Life expectancy at birth, total (years)",82.31,10.00
Swaziland,"Life expectancy at birth, total (years)",58.32,1.00
Sint Maarten (Dutch part),"Life expectancy at birth, total (years)",73.05,5.00
Seychelles,"Life expectancy at birth, total (years)",74.30,5.00
Syria,"Life expectancy at birth, total (years)",70.97,4.00
Turks and Caicos Islands,"Life expectancy at birth, total (years)",,
Chad,"Life expectancy at birth, total (years)",53.71,1.00
Togo,"Life expectancy at birth, total (years)",60.49,1.00
Thailand,"Life expectancy at birth, total (years)",76.68,7.00
Timor,"Life expectancy at birth, total (years)",69.01,3.00
Trinidad and Tobago,"Life expectancy at birth, total (years)",73.25,5.00
Tunisia,"Life expectancy at birth, total (years)",76.31,7.00
Turkey,"Life expectancy at birth, total (years)",77.16,7.00
Tanzania,"Life expectancy at birth, total (years)",64.48,2.00
Uganda,"Life expectancy at birth, total (years)",62.52,2.00
Ukraine,"Life expectancy at birth, total (years)",71.78,4.00
Uruguay,"Life expectancy at birth, total (years)",77.63,8.00
United States,"Life expectancy at birth, total (years)",78.54,8.00
Uzbekistan,"Life expectancy at birth, total (years)",71.39,4.00
Saint Vincent and the Grenadines,"Life expectancy at birth, total (years)",72.30,4.00
Venezuela,"Life expectancy at birth, total (years)",72.25,4.00
British Virgin Islands,"Life expectancy at birth, total (years)",,
United States Virgin Islands,"Life expectancy at birth, total (years)",79.42,8.00
Vietnam,"Life expectancy at birth, total (years)",75.24,6.00
Kosovo,"Life expectancy at birth, total (years)",71.95,4.00
South Africa,"Life expectancy at birth, total (years)",63.54,2.00
Zambia,"Life expectancy at birth, total (years)",63.04,2.00
Zimbabwe,"Life expectancy at birth, total (years)",60.81,2.00
Aruba,"Cause of death, by non-communicable diseases (% of total)",,
Afghanistan,"Cause of death, by non-communicable diseases (% of total)",44.10,3.00
Angola,"Cause of death, by non-communicable diseases (% of total)",27.40,1.00
Albania,"Cause of death, by non-communicable diseases (% of total)",93.10,10.00
Andorra,"Cause of death, by non-communicable diseases (% of total)",,
United Arab Emirates,"Cause of death, by non-communicable diseases (% of total)",76.80,6.00
Argentina,"Cause of death, by non-communicable diseases (% of total)",77.60,6.00
Armenia,"Cause of death, by non-communicable diseases (% of total)",93.30,10.00
Antigua and Barbuda,"Cause of death, by non-communicable diseases (% of total)",81.80,6.00
Australia,"Cause of death, by non-communicable diseases (% of total)",89.50,9.00
Austria,"Cause of death, by non-communicable diseases (% of total)",92.20,10.00
Azerbaijan,"Cause of death, by non-communicable diseases (% of total)",86.60,8.00
Burundi,"Cause of death, by non-communicable diseases (% of total)",32.10,1.00
Belgium,"Cause of death, by non-communicable diseases (% of total)",85.70,7.00
Benin,"Cause of death, by non-communicable diseases (% of total)",35.70,2.00
Burkina Faso,"Cause of death, by non-communicable diseases (% of total)",32.70,1.00
Bangladesh,"Cause of death, by non-communicable diseases (% of total)",66.90,4.00
Bulgaria,"Cause of death, by non-communicable diseases (% of total)",95.20,10.00
Bahrain,"Cause of death, by non-communicable diseases (% of total)",83.00,7.00
Bahamas,"Cause of death, by non-communicable diseases (% of total)",73.90,5.00
Bosnia and Herzegovina,"Cause of death, by non-communicable diseases (% of total)",94.50,10.00
Belarus,"Cause of death, by non-communicable diseases (% of total)",90.50,9.00
Belize,"Cause of death, by non-communicable diseases (% of total)",67.40,4.00
Bermuda,"Cause of death, by non-communicable diseases (% of total)",,
Bolivia,"Cause of death, by non-communicable diseases (% of total)",64.50,4.00
Brazil,"Cause of death, by non-communicable diseases (% of total)",73.90,5.00
Barbados,"Cause of death, by non-communicable diseases (% of total)",82.80,7.00
Brunei,"Cause of death, by non-communicable diseases (% of total)",84.80,7.00
Bhutan,"Cause of death, by non-communicable diseases (% of total)",68.60,4.00
Botswana,"Cause of death, by non-communicable diseases (% of total)",45.70,3.00
Central African Republic,"Cause of death, by non-communicable diseases (% of total)",26.00,1.00
Canada,"Cause of death, by non-communicable diseases (% of total)",88.30,8.00
Switzerland,"Cause of death, by non-communicable diseases (% of total)",89.60,9.00
Chile,"Cause of death, by non-communicable diseases (% of total)",84.70,7.00
China,"Cause of death, by non-communicable diseases (% of total)",89.30,8.00
Cote d'Ivoire,"Cause of death, by non-communicable diseases (% of total)",37.20,2.00
Cameroon,"Cause of death, by non-communicable diseases (% of total)",35.20,2.00
Democratic Republic of Congo,"Cause of death, by non-communicable diseases (% of total)",28.00,1.00
Congo,"Cause of death, by non-communicable diseases (% of total)",34.60,2.00
Colombia,"Cause of death, by non-communicable diseases (% of total)",74.80,5.00
Cape Verde,"Cause of death, by non-communicable diseases (% of total)",70.30,4.00
Costa Rica,"Cause of death, by non-communicable diseases (% of total)",83.30,7.00
Cuba,"Cause of death, by non-communicable diseases (% of total)",83.70,7.00
Curacao,"Cause of death, by non-communicable diseases (% of total)",,
Cayman Islands,"Cause of death, by non-communicable diseases (% of total)",,
Cyprus,"Cause of death, by non-communicable diseases (% of total)",91.10,9.00
Czech Republic,"Cause of death, by non-communicable diseases (% of total)",89.90,9.00
Germany,"Cause of death, by non-communicable diseases (% of total)",91.20,9.00
Djibouti,"Cause of death, by non-communicable diseases (% of total)",44.40,3.00
Dominica,"Cause of death, by non-communicable diseases (% of total)",,
Denmark,"Cause of death, by non-communicable diseases (% of total)",89.70,9.00
Dominican Republic,"Cause of death, by non-communicable diseases (% of total)",72.30,5.00
Algeria,"Cause of death, by non-communicable diseases (% of total)",75.70,5.00
Ecuador,"Cause of death, by non-communicable diseases (% of total)",72.20,5.00
Egypt,"Cause of death, by non-communicable diseases (% of total)",84.10,7.00
Eritrea,"Cause of death, by non-communicable diseases (% of total)",45.20,3.00
Spain,"Cause of death, by non-communicable diseases (% of total)",91.40,10.00
Estonia,"Cause of death, by non-communicable diseases (% of total)",92.70,10.00
Ethiopia,"Cause of death, by non-communicable diseases (% of total)",39.30,2.00
Finland,"Cause of death, by non-communicable diseases (% of total)",93.20,10.00
Fiji,"Cause of death, by non-communicable diseases (% of total)",84.40,7.00
France,"Cause of death, by non-communicable diseases (% of total)",87.60,8.00
Faeroe Islands,"Cause of death, by non-communicable diseases (% of total)",,
Gabon,"Cause of death, by non-communicable diseases (% of total)",41.00,2.00
United Kingdom,"Cause of death, by non-communicable diseases (% of total)",88.80,8.00
Georgia,"Cause of death, by non-communicable diseases (% of total)",93.70,10.00
Ghana,"Cause of death, by non-communicable diseases (% of total)",42.70,3.00
Gibraltar,"Cause of death, by non-communicable diseases (% of total)",,
Guinea,"Cause of death, by non-communicable diseases (% of total)",35.10,2.00
Gambia,"Cause of death, by non-communicable diseases (% of total)",34.30,2.00
Guinea-Bissau,"Cause of death, by non-communicable diseases (% of total)",30.00,1.00
Equatorial Guinea,"Cause of death, by non-communicable diseases (% of total)",35.90,2.00
Greece,"Cause of death, by non-communicable diseases (% of total)",86.20,8.00
Grenada,"Cause of death, by non-communicable diseases (% of total)",81.30,6.00
Greenland,"Cause of death, by non-communicable diseases (% of total)",,
Guatemala,"Cause of death, by non-communicable diseases (% of total)",59.20,3.00
Guam,"Cause of death, by non-communicable diseases (% of total)",,
Guyana,"Cause of death, by non-communicable diseases (% of total)",67.60,4.00
Honduras,"Cause of death, by non-communicable diseases (% of total)",66.50,4.00
Croatia,"Cause of death, by non-communicable diseases (% of total)",92.40,10.00
Haiti,"Cause of death, by non-communicable diseases (% of total)",57.10,3.00
Hungary,"Cause of death, by non-communicable diseases (% of total)",93.80,10.00
Indonesia,"Cause of death, by non-communicable diseases (% of total)",73.30,5.00
Isle of Man,"Cause of death, by non-communicable diseases (% of total)",,
India,"Cause of death, by non-communicable diseases (% of total)",62.70,4.00
Ireland,"Cause of death, by non-communicable diseases (% of total)",90.60,9.00
Iran,"Cause of death, by non-communicable diseases (% of total)",81.90,6.00
Iraq,"Cause of death, by non-communicable diseases (% of total)",54.70,3.00
Iceland,"Cause of death, by non-communicable diseases (% of total)",89.80,9.00
Israel,"Cause of death, by non-communicable diseases (% of total)",85.80,8.00
Italy,"Cause of death, by non-communicable diseases (% of total)",91.40,10.00
Jamaica,"Cause of death, by non-communicable diseases (% of total)",80.00,6.00
Jordan,"Cause of death, by non-communicable diseases (% of total)",78.40,6.00
Japan,"Cause of death, by non-communicable diseases (% of total)",82.40,6.00
Kazakhstan,"Cause of death, by non-communicable diseases (% of total)",86.00,8.00
Kenya,"Cause of death, by non-communicable diseases (% of total)",27.10,1.00
Kyrgyzstan,"Cause of death, by non-communicable diseases (% of total)",82.70,7.00
Cambodia,"Cause of death, by non-communicable diseases (% of total)",64.40,4.00
Saint Kitts and Nevis,"Cause of death, by non-communicable diseases (% of total)",,
South Korea,"Cause of death, by non-communicable diseases (% of total)",79.80,6.00
Kuwait,"Cause of death, by non-communicable diseases (% of total)",72.40,5.00
Laos,"Cause of death, by non-communicable diseases (% of total)",59.60,3.00
Lebanon,"Cause of death, by non-communicable diseases (% of total)",90.60,9.00
Liberia,"Cause of death, by non-communicable diseases (% of total)",31.40,1.00
Libya,"Cause of death, by non-communicable diseases (% of total)",71.90,4.00
Saint Lucia,"Cause of death, by non-communicable diseases (% of total)",82.00,6.00
Liechtenstein,"Cause of death, by non-communicable diseases (% of total)",,
Sri Lanka,"Cause of death, by non-communicable diseases (% of total)",82.80,7.00
Lithuania,"Cause of death, by non-communicable diseases (% of total)",89.80,9.00
Luxembourg,"Cause of death, by non-communicable diseases (% of total)",88.40,8.00
Latvia,"Cause of death, by non-communicable diseases (% of total)",91.80,10.00
Morocco,"Cause of death, by non-communicable diseases (% of total)",79.60,6.00
Monaco,"Cause of death, by non-communicable diseases (% of total)",,
Moldova,"Cause of death, by non-communicable diseases (% of total)",90.10,9.00
Madagascar,"Cause of death, by non-communicable diseases (% of total)",43.20,3.00
Maldives,"Cause of death, by non-communicable diseases (% of total)",84.40,7.00
Mexico,"Cause of death, by non-communicable diseases (% of total)",79.90,6.00
Macedonia,"Cause of death, by non-communicable diseases (% of total)",95.30,10.00
Mali,"Cause of death, by non-communicable diseases (% of total)",30.50,1.00
Malta,"Cause of death, by non-communicable diseases (% of total)",90.50,9.00
Myanmar,"Cause of death, by non-communicable diseases (% of total)",67.80,4.00
Montenegro,"Cause of death, by non-communicable diseases (% of total)",95.00,10.00
Mongolia,"Cause of death, by non-communicable diseases (% of total)",79.70,6.00
Mariana Islands,"Cause of death, by non-communicable diseases (% of total)",,
Mozambique,"Cause of death, by non-communicable diseases (% of total)",26.90,1.00
Mauritania,"Cause of death, by non-communicable diseases (% of total)",37.20,2.00
Mauritius,"Cause of death, by non-communicable diseases (% of total)",88.70,8.00
Malaysia,"Cause of death, by non-communicable diseases (% of total)",73.60,5.00
Namibia,"Cause of death, by non-communicable diseases (% of total)",40.90,2.00
New Caledonia,"Cause of death, by non-communicable diseases (% of total)",,
Niger,"Cause of death, by non-communicable diseases (% of total)",27.00,1.00
Nigeria,"Cause of death, by non-communicable diseases (% of total)",29.00,1.00
Nicaragua,"Cause of death, by non-communicable diseases (% of total)",76.40,5.00
Netherlands,"Cause of death, by non-communicable diseases (% of total)",89.60,9.00
Norway,"Cause of death, by non-communicable diseases (% of total)",87.00,8.00
Nepal,"Cause of death, by non-communicable diseases (% of total)",66.20,4.00
New Zealand,"Cause of death, by non-communicable diseases (% of total)",89.50,9.00
Oman,"Cause of death, by non-communicable diseases (% of total)",71.90,4.00
Pakistan,"Cause of death, by non-communicable diseases (% of total)",57.80,3.00
Panama,"Cause of death, by non-communicable diseases (% of total)",74.60,5.00
Peru,"Cause of death, by non-communicable diseases (% of total)",69.20,4.00
Philippines,"Cause of death, by non-communicable diseases (% of total)",67.30,4.00
Papua New Guinea,"Cause of death, by non-communicable diseases (% of total)",55.90,3.00
Poland,"Cause of death, by non-communicable diseases (% of total)",90.30,9.00
Puerto Rico,"Cause of death, by non-communicable diseases (% of total)",,
North Korea,"Cause of death, by non-communicable diseases (% of total)",83.60,7.00
Portugal,"Cause of death, by non-communicable diseases (% of total)",85.60,7.00
Paraguay,"Cause of death, by non-communicable diseases (% of total)",74.40,5.00
Palestine,"Cause of death, by non-communicable diseases (% of total)",,
French Polynesia,"Cause of death, by non-communicable diseases (% of total)",,
Qatar,"Cause of death, by non-communicable diseases (% of total)",68.90,4.00
Romania,"Cause of death, by non-communicable diseases (% of total)",92.20,10.00
Russia,"Cause of death, by non-communicable diseases (% of total)",87.40,8.00
Rwanda,"Cause of death, by non-communicable diseases (% of total)",44.00,3.00
Saudi Arabia,"Cause of death, by non-communicable diseases (% of total)",73.20,5.00
Sudan,"Cause of death, by non-communicable diseases (% of total)",52.20,3.00
Senegal,"Cause of death, by non-communicable diseases (% of total)",42.10,2.00
Singapore,"Cause of death, by non-communicable diseases (% of total)",73.60,5.00
Sierra Leone,"Cause of death, by non-communicable diseases (% of total)",33.20,2.00
El Salvador,"Cause of death, by non-communicable diseases (% of total)",73.80,5.00
San Marino,"Cause of death, by non-communicable diseases (% of total)",,
Somalia,"Cause of death, by non-communicable diseases (% of total)",23.90,1.00
Serbia,"Cause of death, by non-communicable diseases (% of total)",94.60,10.00
South Sudan,"Cause of death, by non-communicable diseases (% of total)",27.30,1.00
Suriname,"Cause of death, by non-communicable diseases (% of total)",75.90,5.00
Slovakia,"Cause of death, by non-communicable diseases (% of total)",89.20,8.00
Slovenia,"Cause of death, by non-communicable diseases (% of total)",88.40,8.00
Sweden,"Cause of death, by non-communicable diseases (% of total)",89.90,9.00
Swaziland,"Cause of death, by non-communicable diseases (% of total)",36.70,2.00
Sint Maarten (Dutch part),"Cause of death, by non-communicable diseases (% of total)",,
Seychelles,"Cause of death, by non-communicable diseases (% of total)",80.80,6.00
Syria,"Cause of death, by non-communicable diseases (% of total)",45.10,3.00
Turks and Caicos Islands,"Cause of death, by non-communicable diseases (% of total)",,
Chad,"Cause of death, by non-communicable diseases (% of total)",27.30,1.00
Togo,"Cause of death, by non-communicable diseases (% of total)",37.60,2.00
Thailand,"Cause of death, by non-communicable diseases (% of total)",74.00,5.00
Timor,"Cause of death, by non-communicable diseases (% of total)",45.40,3.00
Trinidad and Tobago,"Cause of death, by non-communicable diseases (% of total)",80.70,6.00
Tunisia,"Cause of death, by non-communicable diseases (% of total)",85.80,8.00
Turkey,"Cause of death, by non-communicable diseases (% of total)",89.40,8.00
Tanzania,"Cause of death, by non-communicable diseases (% of total)",32.90,2.00
Uganda,"Cause of death, by non-communicable diseases (% of total)",32.90,2.00
Ukraine,"Cause of death, by non-communicable diseases (% of total)",91.00,9.00
Uruguay,"Cause of death, by non-communicable diseases (% of total)",84.90,7.00
United States,"Cause of death, by non-communicable diseases (% of total)",88.30,8.00
Uzbekistan,"Cause of death, by non-communicable diseases (% of total)",83.70,7.00
Saint Vincent and the Grenadines,"Cause of death, by non-communicable diseases (% of total)",81.00,6.00
Venezuela,"Cause of death, by non-communicable diseases (% of total)",69.50,4.00
British Virgin Islands,"Cause of death, by non-communicable diseases (% of total)",,
United States Virgin Islands,"Cause of death, by non-communicable diseases (% of total)",,
Vietnam,"Cause of death, by non-communicable diseases (% of total)",77.20,6.00
Kosovo,"Cause of death, by non-communicable diseases (% of total)",,
South Africa,"Cause of death, by non-communicable diseases (% of total)",51.30,3.00
Zambia,"Cause of death, by non-communicable diseases (% of total)",29.20,1.00
Zimbabwe,"Cause of death, by non-communicable diseases (% of total)",33.00,2.00
Aruba,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",,
Afghanistan,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",36.40,8.00
Angola,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",63.40,10.00
Albania,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",2.90,1.00
Andorra,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",,
United Arab Emirates,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",6.50,3.00
Argentina,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",15.90,7.00
Armenia,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",2.80,1.00
Antigua and Barbuda,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",11.90,6.00
Australia,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",4.60,2.00
Austria,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",2.60,1.00
Azerbaijan,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",8.80,4.00
Burundi,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",55.80,10.00
Belgium,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",7.90,4.00
Benin,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",54.10,9.00
Burkina Faso,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",56.30,10.00
Bangladesh,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",25.60,8.00
Bulgaria,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",2.20,1.00
Bahrain,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",6.90,3.00
Bahamas,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",16.90,7.00
Bosnia and Herzegovina,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",1.80,1.00
Belarus,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",2.50,1.00
Belize,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",19.40,7.00
Bermuda,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",,
Bolivia,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",22.40,7.00
Brazil,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",13.90,6.00
Barbados,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",13.00,6.00
Brunei,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",7.80,4.00
Bhutan,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",20.90,7.00
Botswana,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",46.00,8.00
Central African Republic,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",63.70,10.00
Canada,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",5.60,3.00
Switzerland,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",4.30,2.00
Chile,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",8.10,4.00
China,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",3.80,2.00
Cote d'Ivoire,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",52.40,9.00
Cameroon,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",53.90,9.00
Democratic Republic of Congo,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",61.70,10.00
Congo,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",55.50,9.00
Colombia,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",10.10,5.00
Cape Verde,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",19.50,7.00
Costa Rica,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",6.40,3.00
Cuba,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",8.40,4.00
Curacao,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",,
Cayman Islands,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",,
Cyprus,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",4.10,2.00
Czech Republic,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",5.40,3.00
